TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
200.0,380.0,0.2,0.1,0.9,0.4,9.274365465169119e-10,1.985324262108417e-12,0.10203803831764893,1.663773798688068e-10,7.167609025719661e-13,0.001001529498243194,3.580073813997713e-10,1.986314303646655e-12,0.0017552729614233936,4.030517852483336e-10,7.356954025719286e-12,0.09928123585798233
200.0,400.0,0.2,0.1,0.9,0.4,9.218123356457845e-10,1.9732847513304584e-12,0.10766899098021396,1.6483443429958176e-10,7.101138267513876e-13,0.0009970998170998446,3.512690389636914e-10,1.948928298052796e-12,0.001748557296567135,4.0570886238251134e-10,7.40545398288209e-12,0.10492333386654698
10.0,20.0,0.2,0.1,0.9,0.4,7.964470365522108e-9,1.706252904149648e-11,0.021818481465449718,2.2461036121388286e-9,9.589303140129308e-12,0.003622396701738363,3.5944541546542697e-9,1.985191845469771e-11,0.0056176799690947484,2.1239125987290134e-9,4.1250698560980995e-11,0.012578404794616605
10.0,40.0,0.2,0.1,0.9,0.4,7.89058477814981e-9,1.6904241682459367e-11,0.02217781688184583,1.92034552924609e-9,8.198542273033224e-12,0.003280586805826844,3.818005586969397e-9,2.108657735249012e-11,0.005729176527005609,2.152233661934323e-9,4.1800751158205486e-11,0.013168053549013372
10.0,60.0,0.2,0.1,0.9,0.4,8.044079388652278e-9,1.7233077892428723e-11,0.021560068674260524,1.874355701238827e-9,8.002197634370671e-12,0.003237838962983128,4.040908565848081e-9,2.2317654887386223e-11,0.005895249985158342,2.128815121565368e-9,4.134591551662776e-11,0.012426979726119053
10.0,80.0,0.2,0.1,0.9,0.4,8.027962082206546e-9,1.7198549292700175e-11,0.022089301011077856,1.626560782489686e-9,6.944285354800215e-12,0.0029808184707555514,4.1917135258538395e-9,2.3150540115515172e-11,0.005955187250682094,2.2096877738630222e-9,4.2916626761409637e-11,0.013153295289640212
10.0,100.0,0.2,0.1,0.9,0.4,8.256377783129492e-9,1.7687891251633567e-11,0.022764735089546545,1.6408616867143153e-9,7.0053402879060575e-12,0.0029991628882759277,4.414132880742851e-9,2.4378946629000894e-11,0.006186180771919919,2.201383215672325e-9,4.2755335366080294e-11,0.013579391429350694
10.0,120.0,0.2,0.1,0.9,0.4,7.588070843371191e-9,1.6256156805408138e-11,0.02216080080639735,1.5550389393718453e-9,6.638936736378887e-12,0.0029327607653755797,3.845947968211812e-9,2.1240901166339917e-11,0.005675591793780487,2.1870839357875356e-9,4.247761429388574e-11,0.013552448247241278
10.0,140.0,0.2,0.1,0.9,0.4,7.907635588822408e-9,1.6940770156912818e-11,0.022615100938477514,1.5349353362086648e-9,6.553108307138694e-12,0.0029082503526454023,4.239061507838636e-9,2.3412039702633172e-11,0.006057635359169908,2.133638744775107e-9,4.143960008119778e-11,0.013649215226662204
10.0,160.0,0.2,0.1,0.9,0.4,7.63869514708789e-9,1.6364610803317526e-11,0.022139234008838393,1.4927653755153347e-9,6.37307185008914e-12,0.0028707045162204865,3.852158733876087e-9,2.1275202789953274e-11,0.005737869908301229,2.2937710376964675e-9,4.454969460633532e-11,0.013530659584316675
