TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
120.0,400.0,0.2,0.1,0.9,0.4,1.8123144910994575e-10,3.811461140410982e-13,0.005130140892292062,5.358444300783913e-12,2.2723425362371516e-14,0.00018820104465443413,6.992009098935124e-11,3.6725514654900346e-13,0.0008415497361024278,1.0595291381981059e-10,2.1494220333685296e-12,0.0041003901115352
130.0,20.0,0.2,0.1,0.9,0.4,1.8462861705482222e-9,3.887516378096111e-12,0.014483204575672313,3.2706728462986336e-12,1.3839611129250079e-14,0.00014809702702650845,1.0332161152418116e-9,5.588417617236177e-12,0.0032038696445170164,8.097993824601115e-10,1.507593260590344e-11,0.011131237904128788
130.0,40.0,0.2,0.1,0.9,0.4,1.291782095926674e-9,2.7199597413195835e-12,0.009905768279322416,3.726217706729644e-12,1.5767215636508718e-14,0.00014433785936601246,9.5256811058175e-10,5.152211945074594e-12,0.0030491986020604214,3.354877676381939e-10,6.2457333069990775e-12,0.006712231817895985
130.0,60.0,0.2,0.1,0.9,0.4,3.9321644882657985e-10,8.279514895007956e-13,0.007441755377782758,5.123428784507882e-12,2.1679411349942548e-14,0.00018771615431801048,1.3521319773764454e-10,7.313356858966975e-13,0.0011424903547602833,2.5287982230442756e-10,4.707831644514961e-12,0.006111548868704464
130.0,80.0,0.2,0.1,0.9,0.4,7.199879546423153e-10,1.5159973628967913e-12,0.009473676039699652,2.7919074019258345e-12,1.1813750432194853e-14,0.00013445264663987995,3.0244686431574614e-10,1.6358623911168719e-12,0.0018637396992753205,4.147491829246432e-10,7.721333043166935e-12,0.007475483693784453
130.0,100.0,0.2,0.1,0.9,0.4,9.140152131246461e-10,1.92453865902922e-12,0.010318328393502102,3.572087310398788e-12,1.511502422249119e-14,0.000156154711826008,4.4117034814154943e-10,2.3861843707107155e-12,0.002255771735196873,4.692727776726977e-10,8.736391905469475e-12,0.00790640194647922
130.0,120.0,0.2,0.1,0.9,0.4,3.567067993609321e-10,7.510772418785489e-13,0.006807465098768763,3.2711816557351315e-12,1.3841764118885834e-14,0.00014790343041913752,1.845546289341835e-10,9.982116272324086e-13,0.0014480213265509057,1.688809887710137e-10,3.144035992464527e-12,0.005211540341798719
130.0,140.0,0.2,0.1,0.9,0.4,4.1312118546347754e-10,8.69862646564087e-13,0.0070951566288509115,3.453317774759246e-12,1.4612459684704097e-14,0.00014960650579951663,1.996613357171126e-10,1.0799201730813901e-12,0.00147270652407238,2.1000653197160575e-10,3.909665024916692e-12,0.005472843598979014
130.0,160.0,0.2,0.1,0.9,0.4,5.025700919307707e-10,1.0582051118012804e-12,0.008107769054852653,6.546055681177404e-12,2.7699152228092216e-14,0.00020353314157678647,2.485099449110916e-10,1.344130558662947e-12,0.0016362110563968035,2.4751409133850177e-10,4.607938510269837e-12,0.00626802485687906
130.0,180.0,0.2,0.1,0.9,0.4,3.064800036220519e-10,6.453203477583885e-13,0.006477590999582122,9.392608549140695e-12,3.9744130922933664e-14,0.00025365192830699163,1.4761435471343293e-10,7.984105631612547e-13,0.00126625565794847,1.494730403594782e-10,2.7827206733761322e-12,0.00495768341332666
