TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
80.0,240.0,0.2,0.1,0.9,0.4,1.394285144850192e-9,3.0440074708345505e-12,0.010543523147559339,2.368467616335465e-10,1.0313311191204625e-12,0.0011859669219797617,5.14719079354819e-10,2.892719658382301e-12,0.002140465183251587,6.427193038618273e-10,1.2738452398862487e-11,0.007217091042327993
80.0,260.0,0.2,0.1,0.9,0.4,1.4741281598786373e-9,3.218320978468354e-12,0.011193069708484089,2.3528884998265637e-10,1.0245473119224173e-12,0.0011797686737036856,5.330602139978306e-10,2.995796779217573e-12,0.00218371969946974,7.057790958981502e-10,1.3988273517211155e-11,0.007829581335310663
80.0,280.0,0.2,0.1,0.9,0.4,1.55904364479409e-9,3.403708717430422e-12,0.011404436280582847,2.320437534028652e-10,1.0104167869187942e-12,0.00117301136599958,5.522215529298198e-10,3.1034834456589424e-12,0.0022064891386347684,7.747783384614048e-10,1.535581228828647e-11,0.008024935775948499
80.0,300.0,0.2,0.1,0.9,0.4,1.4033393085557336e-9,3.063774547937555e-12,0.010964534963833253,2.3118164528714348e-10,1.0066628030278689e-12,0.0011698018521486516,4.401934264779252e-10,2.4738857161841805e-12,0.001957392781527761,7.319642367906648e-10,1.4507253060555498e-11,0.007837340330156843
80.0,320.0,0.2,0.1,0.9,0.4,1.4955150572843168e-9,3.265012916427612e-12,0.011638159749501779,2.3508455122951313e-10,1.023657708618319e-12,0.0011822003112361456,4.5335906650130835e-10,2.547876573019258e-12,0.002000622281386714,8.070714395534954e-10,1.5995849282043367e-11,0.00845533715687892
80.0,340.0,0.2,0.1,0.9,0.4,1.4836390239584168e-9,3.2390851251853096e-12,0.011528368707757747,2.2503448264749342e-10,9.798954531986372e-13,0.0011484020851741626,4.744440141619356e-10,2.666373914657168e-12,0.002029954752669129,7.841605271489881e-10,1.5541763703275586e-11,0.008350011869914459
80.0,360.0,0.2,0.1,0.9,0.4,1.5577877446782442e-9,3.400966832566069e-12,0.011787246759297104,2.2414896872770774e-10,9.760395505230402e-13,0.0011471101785017136,5.488389039191552e-10,3.0844729685209622e-12,0.002198589519297233,7.847998720313808e-10,1.5554435275923055e-11,0.008441547061498158
80.0,380.0,0.2,0.1,0.9,0.4,1.5327146081271204e-9,3.3462270863521943e-12,0.011847768290638258,2.2898700808742237e-10,9.971064230983273e-13,0.001164570342604735,4.831034806117376e-10,2.7150400897324007e-12,0.0020611978011125507,8.2062411942796e-10,1.6264458247762254e-11,0.008622000146920971
80.0,400.0,0.2,0.1,0.9,0.4,1.5290382524118998e-9,3.3382008556318064e-12,0.011973842780052554,2.3028217001644585e-10,1.0027461067169224e-12,0.0011677335091419738,4.1615835862436325e-10,2.3388087080466537e-12,0.0018947451009892347,8.825977237710911e-10,1.7492751538733066e-11,0.008911364169921346
90.0,20.0,0.2,0.1,0.9,0.4,2.0239738533103516e-8,4.492664686571351e-11,0.03043339831094425,2.371110490548011e-10,1.0498742283126221e-12,0.0011976981998125075,1.7779495410482634e-8,1.0017860183824955e-10,0.014420379328774699,2.223132073566085e-9,4.711897396045183e-11,0.014815320782357045
90.0,40.0,0.2,0.1,0.9,0.4,7.697002641898007e-9,1.7085226622440534e-11,0.0202017826658244,2.2055735220174184e-10,9.765781934858776e-13,0.0011481345154214471,6.289713400374209e-9,3.54394025176492e-11,0.008672228581068149,1.1867318893220554e-9,2.515261673199081e-11,0.010381419569334801
90.0,60.0,0.2,0.1,0.9,0.4,2.326072716423518e-9,5.16324098474933e-12,0.012676163078933407,2.1276121970568676e-10,9.420586777537064e-13,0.0011251834365117186,1.5265714289166639e-9,8.601469716903445e-12,0.004034182245492346,5.867400678011676e-10,1.2435873830891915e-11,0.007516797396929342
