Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2020-09-22,11207.082,11186.371,10943.264,11082.086,220915129
2020-09-23,11179.592,10833.333,10806.051,11167.218,245498896
2020-09-24,11026.434,10896.471,10728.413,10746.351,223638140
2020-09-25,11177.735,11151.133,10851.679,10910.497,201774516
2020-09-28,11369.396,11364.45,11243.241,11332.317,216543840
2020-09-29,11396.216,11322.954,11305.789,11354.699,165925500
2020-09-30,11535.015,11418.063,11328.55,11328.55,262853870
2020-10-01,11606.732,11583.203,11488.595,11554.958,191860057
2020-10-02,11479.081,11255.694,11225.173,11328.855,204694223
2020-10-05,11512.059,11509.063,11336.067,11345.236,162991207
2020-10-06,11536.417,11291.274,11256.263,11476.675,194805134
2020-10-07,11519.552,11503.194,11382.485,11412.651,168069700
2020-10-08,11582.783,11550.943,11510.242,11576.443,148363719
2020-10-09,11727.6,11725.851,11600.862,11615.566,182994202
2020-10-12,12204.751,12088.106,11880.228,11900.118,233326273
2020-10-13,12187.782,12083.171,12032.748,12131.067,200441012
2020-10-14,12159.206,11985.359,11913.568,12105.101,176426080
2020-10-15,11928.634,11898.573,11765.486,11767.275,158290918
2020-10-16,12034.129,11852.168,11824.14,11952.116,194988617
2020-10-19,11962.465,11634.349,11606.481,11913.008,184090335
2020-10-20,11801.395,11677.836,11613.763,11679.078,155090259
2020-10-21,11789.461,11665.366,11646.475,11686.187,162022189
2020-10-22,11739.224,11662.914,11529.733,11712.637,167155342
2020-10-23,11693.01,11692.572,11569.087,11680.725,152723150
2020-10-26,11708.077,11504.519,11360.728,11584.173,186914443
2020-10-27,11633.494,11598.945,11503.097,11560.857,185902598
2020-10-28,11426.102,11142.756,11136.102,11400.475,240118841
2020-10-29,11467.373,11350.743,11187.076,11214.325,214424799
2020-10-30,11293.761,11052.946,10960.022,11265.703,265834082
2020-11-02,11222.523,11084.757,10957.109,11152.477,191982307
2020-11-03,11356.083,11279.91,11115.552,11155.845,193867540
2020-11-04,11846.456,11777.016,11564.906,11627.759,271399828
2020-11-05,12117.043,12078.066,11977.067,12021.769,210407238
2020-11-06,12116.912,12091.346,11895.498,12044.291,177196501
2020-11-09,12268.664,11830.385,11818.244,12194.711,318982827
2020-11-10,11761.949,11624.286,11512.464,11704.459,260142127
2020-11-11,11904.128,11892.93,11714.322,11734.815,186649579
2020-11-12,11976.889,11827.14,11786.088,11924.146,181213394
2020-11-13,11957.089,11937.845,11808.945,11910.621,169677009
2020-11-16,12035.499,12013.385,11891.849,11925.363,213930494
2020-11-17,12047.131,11977.49,11964.202,12030.27,194296062
2020-11-18,12027.148,11894.71,11892.537,11963.362,200775028
2020-11-19,12000.294,11985.43,11842.665,11863.123,179576607
2020-11-20,12017.423,11906.441,11903.569,11976.003,192388947
2020-11-23,12001.829,11905.941,11817.529,11959.89,189109442
2020-11-24,12094.163,12079.806,11878.307,11952.702,211729461
2020-11-25,12174.992,12152.215,12081.507,12112.107,164417292
2020-11-27,12306.71,12258.212,12214.445,12220.371,101902294
2020-11-30,12299.609,12268.316,12090.931,12278.779,354412577
2020-12-01,12510.024,12455.326,12338.361,12387.619,227093628
2020-12-02,12472.247,12456.407,12318.271,12390.578,176959089
2020-12-03,12538.918,12467.129,12445.362,12469.156,180457715
2020-12-04,12531.214,12528.483,12450.506,12479.914,168415719
2020-12-07,12609.996,12596.469,12523.116,12523.567,169910941
2020-12-08,12651.353,12635.721,12504.966,12574.843,168730090
2020-12-09,12643.24,12364.638,12311.3,12626.97,227704333
2020-12-10,12447.848,12401.743,12226.131,12268.472,182095336
2020-12-11,12378.606,12375.41,12236.803,12327.07,170460317
2020-12-14,12544.309,12462.21,12426.251,12427.864,206338184
2020-12-15,12596.84,12595.922,12467.57,12565.283,194790658
2020-12-16,12698.112,12668.163,12568.707,12607.871,184132850
2020-12-17,12760.97,12752.06,12685.977,12741.64,178080188
2020-12-18,12793.47,12738.181,12611.22,12786.923,682514575
2020-12-21,12706.44,12690.257,12474.028,12575.597,216760330
2020-12-22,12761.234,12717.562,12606.417,12715.482,176873022
2020-12-23,12737.591,12653.137,12649.604,12733.749,145398590
2020-12-24,12732.549,12711.009,12665.803,12668.195,72669947
2020-12-28,12861.906,12838.861,12747.049,12813.969,144843607
2020-12-29,12925.534,12843.491,12816.588,12909.859,155882980
2020-12-30,12917.455,12845.357,12828.787,12900.03,136772031
2020-12-31,12904.09,12888.284,12804.752,12852.963,158536073
2021-01-04,12950.218,12694.665,12537.422,12950.218,242642083
2021-01-05,12809.667,12802.376,12663.133,12663.133,175194081
2021-01-06,12803.292,12623.353,12569.418,12601.259,243867984
2021-01-07,12966.683,12939.571,12744.817,12745.411,215737878
2021-01-08,13113.088,13105.199,12939.727,13037.242,220388189
2021-01-11,13023.215,12902.491,12883.592,12961.504,196988641
2021-01-12,12957.433,12892.092,12783.707,12916.097,184507823
2021-01-13,13008.845,12973.633,12878.021,12911.866,207307413
2021-01-14,13037.05,12898.689,12886.16,13010.936,198571287
2021-01-15,12941.292,12803.933,12758.098,12898.088,244666687
2021-01-19,13012.086,12996.537,12861.301,12921.61,208174824
2021-01-20,13332.264,13296.45,13138.305,13155.115,209509271
2021-01-21,13433.691,13404.986,13297.793,13356.703,195486179
2021-01-22,13404.774,13366.397,13336.896,13356.178,185530237
2021-01-25,13563.703,13483.291,13205.594,13515.634,221641667
2021-01-26,13536.301,13490.186,13440.324,13507.474,183905857
2021-01-27,13393.513,13112.65,13034.142,13371.155,332770221
2021-01-28,13401.848,13201.533,13150.099,13163.315,259130233
2021-01-29,13167.872,12925.376,12845.434,13124.697,285521155
2021-02-01,13280.217,13248.9,12983.098,13067.648,199893429
2021-02-02,13501.232,13456.119,13363.755,13371.365,191128206
2021-02-03,13561.454,13402.374,13400.081,13555.029,181610863
2021-02-04,13563.129,13560.891,13406.441,13454.853,195077595
2021-02-05,13642.964,13603.956,13527.805,13592.768,172266900
2021-02-08,13698.41,13695.024,13607.962,13672.328,181110280
2021-02-09,13741.787,13687.085,13664.698,13667.135,151604374
2021-02-10,13770.906,13655.268,13531.927,13751.423,175906742
2021-02-11,13747.196,13734.347,13637.191,13723.632,156644285
2021-02-12,13816.254,13807.696,13656.784,13695.903,137785570
2021-02-16,13879.775,13773.766,13726.775,13841.032,168062508
2021-02-17,13713.14,13699.711,13552.665,13636.153,163369963
2021-02-18,13669.944,13637.513,13477.168,13556.015,169460113
2021-02-19,13701.694,13580.776,13545.449,13686.226,193940792
2021-02-22,13447.366,13223.74,13220.773,13414.038,215665059
2021-02-23,13259.846,13194.707,12758.12,12982.359,261290790
2021-02-24,13312.425,13302.189,12971.82,13095.857,214767033
2021-02-25,13294.563,12828.311,12773.764,13197.753,260931935
2021-02-26,13090.358,12909.443,12764.339,12958.965,312545520
2021-03-01,13293.776,13282.953,13051.701,13106.021,207571729
2021-03-02,13301.623,13059.949,13052.122,13297.765,195312467
2021-03-03,13057.29,12683.328,12679.894,13020.103,230648541
2021-03-04,12799.075,12464.003,12314.161,12655.915,307808679
2021-03-05,12700.955,12668.511,12208.388,12594.164,302021236
2021-03-08,12718.578,12299.08,12287.573,12629.558,273331832
2021-03-09,12868.523,12794.491,12592.827,12635.45,252068808
2021-03-10,12979.375,12752.067,12726.847,12950.249,214223503
2021-03-11,13117.865,13052.899,12920.005,12960.535,211633742
2021-03-12,12943.579,12937.293,12778.125,12873.386,184556248
2021-03-15,13085.008,13082.539,12885.641,12936.126,180212042
2021-03-16,13297.48,13152.276,13091.776,13156.646,186930180
2021-03-17,13280.291,13202.378,12950.077,13024.827,220851153
2021-03-18,13040.364,12789.144,12781.526,13006.294,226015005
2021-03-19,12906.022,12866.989,12704.069,12792.674,575602970
2021-03-22,13167.464,13086.514,12943.142,12943.142,209330550
2021-03-23,13180.659,13017.79,12993.498,13127.172,203448410
2021-03-24,13077.487,12798.881,12797.845,13072.822,208055066
2021-03-25,12845.658,12780.511,12627.925,12707.579,216994221
2021-03-26,12992.3,12979.117,12721.662,12777.272,253001795
2021-03-29,13013.475,12965.743,12836.6,12950.512,199249714
2021-03-30,12929.462,12896.534,12798.027,12904.014,172814639
2021-03-31,13167.063,13091.443,12966.647,12970.331,247923169
2021-04-01,13333.406,13329.515,13255.821,13268.883,187349646
2021-04-05,13623.599,13598.163,13420.812,13434.036,178500189
2021-04-06,13660.288,13578.458,13551.603,13567.205,163836264
2021-04-07,13648.8,13616.7,13532.63,13553.897,144111726
2021-04-08,13763.179,13758.505,13703.508,13730.729,163893941
2021-04-09,13849.31,13845.055,13674.922,13709.666,160652599
2021-04-12,13839.388,13819.351,13747.632,13792.737,178224064
2021-04-13,14002.532,13986.494,13874.578,13874.578,164973835
2021-04-14,13990.543,13803.914,13782.175,13988.865,161337924
2021-04-15,14040.109,14026.195,13931.013,13934.874,177923713
2021-04-16,14050.378,14041.908,13966.543,14035.96,194727372
2021-04-19,14025.638,13907.671,13835.749,13970.829,177420884
2021-04-20,13934.891,13809.304,13730.592,13891.96,161459430
2021-04-21,13939.701,13935.152,13717.442,13768.922,166849804
2021-04-22,13954.033,13762.358,13716.761,13920.883,172743912
2021-04-23,13989.428,13941.442,13789.447,13794.486,172086466
2021-04-26,14039.397,14026.16,13919.929,13954.943,161381520
2021-04-27,14048.344,13960.278,13931.176,14048.127,168172157
2021-04-28,13992.075,13901.616,13895.146,13953.612,199187303
2021-04-29,14073.482,13970.205,13836.1,14063.937,197089878
