Date,HIGH,CLOSE,LOW,OPEN
2017-11-09,2586.5,2584.62,2566.33,2584.0
2017-11-10,2583.81,2582.3,2575.57,2580.18
2017-11-13,2587.66,2584.84,2574.48,2576.53
2017-11-14,2579.66,2578.87,2566.56,2577.75
2017-11-15,2572.84,2564.62,2557.45,2569.45
2017-11-16,2590.09,2585.64,2572.95,2572.95
2017-11-17,2583.96,2578.85,2577.62,2582.94
2017-11-20,2584.64,2582.14,2578.24,2579.49
2017-11-21,2601.19,2599.03,2589.17,2589.17
2017-11-22,2600.94,2597.08,2595.23,2600.31
2017-11-24,2604.21,2602.42,2600.42,2600.42
2017-11-27,2606.41,2601.42,2598.87,2602.66
2017-11-28,2627.69,2627.04,2605.44,2605.94
2017-11-29,2634.89,2626.07,2620.32,2627.82
2017-11-30,2657.74,2647.58,2633.93,2633.93
2017-12-01,2650.62,2642.22,2605.52,2645.1
2017-12-04,2665.19,2639.44,2639.03,2657.19
2017-12-05,2648.72,2629.57,2627.73,2639.78
2017-12-06,2634.41,2629.27,2624.75,2626.24
2017-12-07,2640.99,2636.98,2626.53,2628.38
2017-12-08,2651.65,2651.5,2644.1,2646.21
2017-12-11,2660.33,2659.99,2651.47,2652.19
2017-12-12,2669.72,2664.11,2659.78,2661.73
2017-12-13,2671.88,2662.85,2662.85,2667.59
2017-12-14,2668.09,2652.01,2652.01,2665.87
2017-12-15,2679.63,2675.81,2659.14,2660.63
2017-12-18,2694.97,2690.16,2685.92,2685.92
2017-12-19,2694.44,2681.47,2680.74,2692.71
2017-12-20,2691.01,2679.25,2676.11,2688.18
2017-12-21,2692.64,2684.57,2682.4,2683.02
2017-12-22,2685.35,2683.34,2678.13,2684.22
2017-12-26,2682.74,2680.5,2677.96,2679.09
2017-12-27,2685.64,2682.62,2678.91,2682.1
2017-12-28,2687.66,2687.54,2682.69,2686.1
2017-12-29,2692.12,2673.61,2673.61,2689.15
2018-01-02,2695.89,2695.81,2682.36,2683.73
2018-01-03,2714.37,2713.06,2697.77,2697.85
2018-01-04,2729.29,2723.99,2719.07,2719.31
2018-01-05,2743.45,2743.15,2727.92,2731.33
2018-01-08,2748.51,2747.71,2737.6,2742.67
2018-01-09,2759.14,2751.29,2747.86,2751.15
2018-01-10,2750.8,2748.23,2736.06,2745.55
2018-01-11,2767.56,2767.56,2752.78,2752.97
2018-01-12,2787.85,2786.24,2769.64,2770.18
2018-01-16,2807.54,2776.42,2768.64,2798.96
2018-01-17,2807.04,2802.56,2778.38,2784.99
2018-01-18,2805.83,2798.03,2792.56,2802.4
2018-01-19,2810.33,2810.3,2798.08,2802.6
2018-01-22,2833.03,2832.97,2808.12,2809.16
2018-01-23,2842.24,2839.13,2830.59,2835.05
2018-01-24,2852.97,2837.54,2824.81,2845.42
2018-01-25,2848.56,2839.25,2830.94,2846.24
2018-01-26,2872.87,2872.87,2846.18,2847.48
2018-01-29,2870.62,2853.53,2851.48,2867.23
2018-01-30,2837.75,2822.43,2818.27,2832.74
2018-01-31,2839.26,2823.81,2813.04,2832.41
2018-02-01,2835.96,2821.98,2812.7,2816.45
2018-02-02,2808.92,2762.13,2759.97,2808.92
2018-02-05,2763.39,2648.94,2638.17,2741.06
