Date,CLOSE,VOLUME,HIGH,LOW,OPEN
2019-09-13,0.046,148439.0,,,
2019-09-14,0.047,146240.0,,,
2019-09-15,0.047,43866.0,,,
2019-09-16,0.047,249282.0,,,
2019-09-17,0.05,377056.0,,,
2019-09-18,0.054,612819.0,,,
2019-09-19,0.052,642527.0,,,
2019-09-20,0.052,144663.0,,,
2019-09-21,0.052,151705.0,,,
2019-09-22,0.049,298652.0,,,
2019-09-23,0.047,274538.0,,,
2019-09-24,0.039,668590.0,,,
2019-11-11,0.044,59561.0,,,
2019-11-12,0.044,122831.0,,,
2019-11-13,0.043,199010.0,,,
2019-11-14,0.044,95390.0,,,
2019-11-15,0.044,147708.0,,,
2019-11-16,0.044,147708.0,,,
2019-11-17,0.046,147708.0,,,
2019-11-18,0.044,147708.0,,,
2019-11-19,0.042,147708.0,,,
2019-11-20,0.041,147708.0,,,
2019-11-21,0.039,147708.0,,,
2019-11-22,0.038,147708.0,,,
2019-11-23,0.037,147708.0,,,
2019-11-24,0.036,147708.0,,,
2019-11-25,0.036,147708.0,,,
2019-11-26,0.036,147708.0,,,
2019-11-27,0.039,147708.0,,,
2019-11-28,0.04,147708.0,,,
2019-11-29,0.041,147708.0,,,
2019-11-30,0.041,147708.0,,,
2019-12-01,0.039,147708.0,,,
2019-12-02,0.038,147708.0,,,
2019-12-03,0.038,147708.0,,,
2019-12-04,0.037,147708.0,,,
2019-12-05,0.038,147708.0,,,
2019-12-06,0.038,147708.0,,,
2019-12-07,0.039,147708.0,,,
2019-12-08,0.039,147708.0,,,
2019-12-09,0.037,159706.0,,,
2019-12-10,0.037,82822.0,,,
2019-12-11,0.037,90097.0,,,
2019-12-12,0.037,137802.0,,,
2019-12-13,0.039,106886.0,,,
2019-12-14,0.037,133074.0,,,
2019-12-15,0.038,48237.0,,,
2019-12-16,0.035,163201.0,,,
2019-12-17,0.032,134070.0,,,
2019-12-18,0.034,183648.0,,,
2019-12-19,0.034,73325.0,,,
2019-12-20,0.035,32025.0,,,
2019-12-21,0.033,90890.0,,,
2019-12-22,0.035,48121.0,,,
2019-12-23,0.033,103571.0,,,
2019-12-24,0.034,65033.0,,,
2019-12-25,0.035,36192.0,,,
2019-12-26,0.034,70834.0,,,
2019-12-27,0.033,291544.0,,,
2019-12-28,0.034,67884.0,,,
2019-12-29,0.034,103416.0,,,
2019-12-30,0.034,75202.0,,,
2019-12-31,0.033,248199.0,,,
2020-01-01,0.034,118715.0,,,
2020-01-02,0.033,130383.0,,,
2020-01-03,0.034,132201.0,,,
2020-01-04,0.035,38240.0,,,
2020-01-05,0.035,145225.0,,,
2020-01-06,0.037,173840.0,,,
2020-01-07,0.037,265887.0,,,
2020-01-08,0.036,315353.0,,,
