DATE,CLOSE,ADJ CLOSE,ADJ EV CLOSE,DPA EX,VOLUME
1990-12-12,6.9090909091e-06,1.8970576416e-05,0.00012925770225,0.0,0.79125815541
1990-12-13,7.0181815408e-06,1.9270111072e-05,0.00013129860815,0.0,0.12123996783
1990-12-14,7.4545454545e-06,2.0468253502e-05,0.00013946225769,0.0,0.36018707969
1990-12-17,7.127272866e-06,1.9569647631e-05,0.00013333952702,0.0,0.047032731628
1990-12-18,7.2727272727e-06,1.9969027807e-05,0.00013606073921,0.0,0.90556343453
1990-12-19,7.3818179044e-06,2.0268562462e-05,0.00013810164511,0.0,1.1086056419
1990-12-20,8.7272727273e-06,2.3962833368e-05,0.00016327288705,0.0,0.66869104212
1990-12-21,8.3636398315e-06,2.29643915e-05,0.00015646991497,0.0,0.9929052631
1990-12-24,8.3636398315e-06,2.29643915e-05,0.00015646991497,0.0,0.9929052631
1990-12-25,8.3636398315e-06,2.29643915e-05,0.00015646991497,0.0,0.9929052631
1990-12-26,8.4727311568e-06,2.3263928059e-05,0.00015851083384,0.0,0.22939277545
1990-12-27,8.9090909091e-06,2.4462059063e-05,0.00016667440553,0.0,0.77430921624
1990-12-28,8.9090909091e-06,2.4462059063e-05,0.00016667440553,0.0,0.2245091783
1990-12-31,8.9090909091e-06,2.4462059063e-05,0.00016667440553,0.0,0.2245091783
1991-01-01,8.9090909091e-06,2.4462059063e-05,0.00016667440553,0.0,0.2245091783
1991-01-02,8.9454546842e-06,2.4561904583e-05,0.00016735471182,0.0,0.23342181618
1991-01-03,9.8181818182e-06,2.6958187539e-05,0.00018368199793,0.0,0.19290019087
1991-01-04,9.4545454545e-06,2.5959736149e-05,0.00017687896097,0.0,0.17816370406
1991-01-07,9.6363636364e-06,2.6458961844e-05,0.00018028047945,0.0,0.050284376387
1991-01-08,9.4545454545e-06,2.5959736149e-05,0.00017687896097,0.0,0.068625449441
1991-01-09,9.3454548229e-06,2.5660201493e-05,0.00017483805507,0.0,0.80185817164
1991-01-10,9.2727272727e-06,2.5460510454e-05,0.00017347744249,0.0,0.24850909091
1991-01-11,9.4545454545e-06,2.5959736149e-05,0.00017687896097,0.0,0.2964363456
1991-01-14,8.5454545455e-06,2.3463607673e-05,0.00015987136857,0.0,0.047854564875
1991-01-15,8.7272727273e-06,2.3962833368e-05,0.00016327288705,0.0,0.11736362346
1991-01-16,8.7672729492e-06,2.407266363e-05,0.00016402122527,0.0,0.37107794508
1991-01-17,1e-05,2.7457413234e-05,0.00018708351641,0.0,0.1074181909
1991-01-18,9.8181818182e-06,2.6958187539e-05,0.00018368199793,0.0,2.0267633922
1991-01-21,1.0909090909e-05,2.995354171e-05,0.00020409110881,0.0,0.20636365953
1991-01-22,1.0545454545e-05,2.895509032e-05,0.00019728807185,0.0,0.47832729575
1991-01-23,1.0545454545e-05,2.895509032e-05,0.00019728807185,0.0,0.26721815435
1991-01-24,1.0545454545e-05,2.895509032e-05,0.00019728807185,0.0,0.26721815435
1991-01-25,1.0545454545e-05,2.895509032e-05,0.00019728807185,0.0,0.26721815435
1991-01-28,1.0909090909e-05,3.3243502089e-05,0.00020409110881,1.0436363636e-06,0.38472732828
1991-01-29,1.2e-05,3.6567852298e-05,0.0002245002197,0.0,0.78110927478
1991-01-30,1.2363636363e-05,3.7675969034e-05,0.00023130325666,0.0,0.79265442144
1991-01-31,1.3418182373e-05,4.0889509261e-05,0.00025103207422,0.0,0.21489092685
1991-02-01,1.3418182373e-05,4.0889509261e-05,0.00025103207422,0.0,0.21489092685
1991-02-04,1.2363636363e-05,3.7675969034e-05,0.00023130325666,0.0,1.0466910797
1991-02-05,1.2e-05,3.6567852298e-05,0.0002245002197,0.0,0.894
1991-02-06,1.1636363636e-05,3.5459735562e-05,0.00021769718274,0.0,0.30138181818
1991-02-07,1.2e-05,3.6567852298e-05,0.0002245002197,0.0,0.66227273837
1991-02-08,1.2727272727e-05,3.8784085771e-05,0.00023810629362,0.0,0.058192728216
1991-02-11,1.2727272727e-05,3.8784085771e-05,0.00023810629362,0.0,0.058192728216
1991-02-12,1.2727272727e-05,3.8784085771e-05,0.00023810629362,0.0,0.058192728216
1991-02-13,1.2727272727e-05,3.8784085771e-05,0.00023810629362,0.0,0.058192728216
1991-02-14,1.1636363636e-05,3.5459735562e-05,0.00021769718274,0.0,0.57529453819
1991-02-15,1.2436363913e-05,3.7897593227e-05,0.00023266386924,0.0,0.63607271839
1991-02-18,1.2436363913e-05,3.7897593227e-05,0.00023266386924,0.0,0.40293819081
1991-02-19,1.2581817626e-05,3.8340837385e-05,0.00023538506845,0.0,1.7337818182
1991-02-20,1.2672726717e-05,3.8617866569e-05,0.00023708582769,0.0,0.26419782049
1991-02-21,1.309090909e-05,3.9892202507e-05,0.00024490933058,0.0,0.79201309759
1991-02-22,1.4e-05,4.2662494348e-05,0.00026191692298,0.0,0.27273600769
1991-02-25,1.4181818181e-05,4.3216552716e-05,0.00026531844146,0.0,1.0897908575
1991-02-26,1.4e-05,4.2662494348e-05,0.00026191692298,0.0,3.281904039
1991-02-27,1.4181818181e-05,4.3216552716e-05,0.00026531844146,0.0,0.43225601363
1991-02-28,1.4327273282e-05,4.3659801101e-05,0.00026803966662,0.0,0.18189964489
1991-03-01,1.4545454545e-05,4.4324669452e-05,0.00027212147842,0.0,0.36496398315
1991-03-04,1.4363636363e-05,4.3770611084e-05,0.00026871995994,0.0,1.3713919678
1991-03-05,1.3818181818e-05,4.210843598e-05,0.0002585154045,0.0,0.76695711448
1991-03-06,1.4e-05,4.2662494348e-05,0.00026191692298,0.0,1.10720004
1991-03-07,1.4e-05,4.2662494348e-05,0.00026191692298,0.0,0.72049090909
1991-03-08,1.309090909e-05,3.9892202507e-05,0.00024490933058,0.0,0.37117998463
1991-03-11,1.3818181818e-05,4.210843598e-05,0.0002585154045,0.0,1.4856720566
1991-03-12,1.3745454268e-05,4.1886811787e-05,0.00025715479192,0.0,1.2455476163
