Date,CLOSE,HIGH,LOW,OPEN,COUNT
2019-03-12,132.8,138.22,126.8,135.02,37642
2019-03-13,131.06,136.65,129.63,132.8,34508
2019-03-14,131.2,138.19,128.48,131.06,36438
2019-03-15,139.56,141.0,130.58,134.54,39642
2019-03-16,139.56,141.0,130.58,134.54,39642
2019-03-17,139.56,141.0,130.58,134.54,39642
2019-03-18,140.73,144.87,135.03,137.96,41894
2019-03-19,137.53,142.28,135.54,137.14,35662
2019-03-20,137.59,142.03,134.97,137.53,35191
2019-03-21,135.02,142.88,131.57,137.6,36867
2019-03-22,138.4,139.4,133.55,135.02,35649
2019-03-23,138.4,139.4,133.55,135.02,35649
2019-03-24,138.4,139.4,133.55,135.02,35649
2019-03-25,131.8,138.75,130.3,137.7,36759
2019-03-26,135.53,136.2,130.96,134.06,33841
2019-03-27,140.31,141.03,132.03,135.53,40909
2019-03-28,139.77,141.45,136.26,140.31,31331
2019-03-29,140.36,144.88,136.28,139.77,34218
2019-03-30,140.36,144.88,136.28,139.77,34218
2019-03-31,140.36,144.88,136.28,139.77,34218
2019-04-01,140.42,145.3,138.41,143.09,34002
2019-04-02,159.53,164.5,139.62,140.45,58272
2019-04-03,178.34,180.0,158.31,161.31,78903
2019-04-04,157.6,179.91,151.14,178.29,72106
2019-04-05,163.7,168.53,154.77,157.6,56911
2019-04-06,163.7,168.53,154.77,157.6,56911
2019-04-07,163.7,168.53,154.77,157.6,56911
2019-04-08,181.19,187.65,166.09,169.13,76150
2019-04-09,178.99,185.01,173.8,181.21,50827
2019-04-10,175.86,186.49,167.0,178.99,49671
2019-04-11,164.62,177.92,160.24,175.7,60592
2019-04-12,163.65,168.33,159.17,164.66,50492
2019-04-13,163.65,168.33,159.17,164.66,50492
2019-04-14,163.65,168.33,159.17,164.66,50492
2019-04-15,160.3,169.54,155.83,164.39,49111
2019-04-16,165.46,168.42,159.37,160.3,43846
2019-04-17,167.81,169.18,164.18,166.75,42515
2019-04-18,175.64,177.2,165.12,167.81,45022
2019-04-19,173.3,177.06,168.8,176.9,45115
2019-04-20,173.3,177.06,168.8,176.9,45115
2019-04-21,173.3,177.06,168.8,176.9,45115
2019-04-22,171.75,174.23,167.42,167.93,50623
2019-04-23,172.42,178.34,169.97,172.89,49819
2019-04-24,164.27,174.09,159.84,172.42,54205
2019-04-25,166.06,167.34,161.32,165.39,45215
2019-04-26,151.01,166.21,146.46,164.75,55403
2019-04-27,151.01,166.21,146.46,164.75,55403
2019-04-28,151.01,166.21,146.46,164.75,55403
2019-04-29,161.69,164.21,148.29,154.1,40409
2019-04-30,156.35,168.21,150.79,161.69,45513
2019-05-01,166.95,172.95,155.72,166.5,42766
2019-05-02,158.84,169.97,155.22,166.95,37723
2019-05-03,165.8,180.59,157.37,169.33,50883
2019-05-04,165.8,180.59,157.37,169.33,50883
2019-05-05,165.8,180.59,157.37,169.33,50883
2019-05-06,183.73,186.79,157.25,167.38,55460
2019-05-07,180.81,191.81,167.85,183.73,57536
2019-05-08,176.22,182.69,161.67,170.01,48810
2019-05-09,167.93,180.24,165.0,176.22,51228
2019-05-10,173.98,178.15,167.01,172.36,59342
2019-05-11,173.98,178.15,167.01,172.36,59342
2019-05-12,173.98,178.15,167.01,172.36,59342
2019-05-13,198.99,208.86,184.73,188.54,79533
2019-05-14,204.16,215.31,190.84,198.99,84682
2019-05-15,239.51,245.66,202.44,204.16,85748
2019-05-16,254.26,280.03,235.85,237.78,91773
2019-05-17,232.88,272.66,214.0,254.15,90486
2019-05-18,232.88,272.66,214.0,254.15,90486
2019-05-19,232.88,272.66,214.0,254.15,90486
2019-05-20,254.29,264.7,238.88,248.77,80283
2019-05-21,262.28,263.36,243.52,254.26,74552
2019-05-22,247.65,264.35,239.59,262.78,70538
2019-05-23,244.83,248.34,229.99,247.65,76857
2019-05-24,253.73,256.33,241.8,244.92,70387
2019-05-25,253.73,256.33,241.8,244.92,70387
2019-05-26,253.73,256.33,241.8,244.92,70387
2019-05-27,266.99,280.46,250.27,251.07,84181
2019-05-28,272.28,276.99,264.32,267.27,67516
2019-05-29,270.58,274.99,259.29,272.25,61450
2019-05-30,263.17,289.35,260.31,270.58,70278
2019-05-31,261.74,265.18,238.2,263.31,74253
2019-06-01,261.74,265.18,238.2,263.31,74253
2019-06-02,261.74,265.18,238.2,263.31,74253
2019-06-03,261.03,271.12,253.59,267.34,69019
2019-06-04,239.19,261.34,232.91,261.09,65335
2019-06-05,244.1,260.8,232.92,239.21,61284
2019-06-06,241.13,248.44,235.1,244.21,61166
2019-06-07,247.68,254.48,240.53,241.52,68419
2019-06-08,247.68,254.48,240.53,241.52,68419
2019-06-09,247.68,254.48,240.53,241.52,68419
2019-06-10,244.25,248.0,225.85,232.39,83165
2019-06-11,244.2,249.34,236.85,244.25,68143
2019-06-12,255.71,260.56,242.54,244.24,66653
2019-06-13,258.79,264.65,254.56,255.77,63748
2019-06-14,257.62,262.15,249.6,258.79,55266
2019-06-15,257.62,262.15,249.6,258.79,55266
2019-06-16,257.62,262.15,249.6,258.79,55266
2019-06-17,272.95,276.55,261.87,270.09,69224
2019-06-18,263.43,276.45,260.58,273.58,59055
2019-06-19,268.0,270.82,260.69,263.45,39969
2019-06-20,272.44,275.45,266.06,268.0,48857
2019-06-21,293.96,295.84,270.37,272.46,65002
2019-06-22,293.96,295.84,270.37,272.46,65002
2019-06-23,293.96,295.84,270.37,272.46,65002
2019-06-24,307.11,321.84,293.85,315.63,75286
2019-06-25,308.98,316.22,304.74,307.18,63225
2019-06-26,337.44,365.25,307.38,308.65,85977
2019-06-27,287.36,344.0,273.28,337.23,94753
2019-06-28,306.49,312.85,235.0,287.79,89338
2019-06-29,312.5,314.93,131.1,293.02,89338
2019-06-30,303.12,318.97,209.55,316.8,89338
2019-07-01,288.75,305.1,175.0,298.45,107510
2019-07-02,287.85,299.0,193.2,290.71,82645
2019-07-03,294.03,301.3,284.1,287.85,81702
2019-07-04,293.3,304.35,290.13,294.03,72184
2019-07-05,286.76,295.95,278.07,292.72,76633
2019-07-06,291.7,298.54,284.36,287.24,76633
2019-07-07,306.62,311.9,282.44,293.1,76633
2019-07-08,311.35,313.13,300.72,306.17,71700
2019-07-09,304.53,318.85,301.29,310.62,63300
2019-07-10,287.22,315.55,278.74,304.67,73356
2019-07-11,266.47,290.8,259.79,287.22,82341
2019-07-12,277.2,279.66,262.93,266.76,72367
2019-07-13,264.38,260.63,277.4,275.4,72367
2019-07-14,234.94,270.4,191.91,267.16,72367
2019-07-15,230.82,240.3,201.42,235.02,97739
2019-07-16,202.89,234.9,188.95,231.26,87111
2019-07-17,212.44,228.3,191.25,202.8,92186
2019-07-18,224.68,228.3,205.29,212.44,84474
2019-07-19,220.6,230.35,211.78,224.34,76652
2019-07-20,231.54,236.52,218.97,221.06,76652
2019-07-21,222.86,230.0,216.1,227.9,76652
2019-07-22,217.88,228.55,210.66,221.56,79308
2019-07-23,217.73,219.36,207.31,217.74,75932
2019-07-24,215.0,218.2,199.93,217.71,76592
2019-07-25,218.59,226.75,213.3,215.0,70662
2019-07-26,218.65,220.9,211.44,218.44,61557
2019-07-27,207.59,242.2,200.5,218.28,61557
2019-07-28,207.54,211.77,203.79,207.9,61557
2019-07-29,211.4,215.13,196.5,207.91,60361
2019-07-30,209.25,214.7,202.61,211.38,47613
2019-07-31,215.32,218.55,207.54,209.25,51809
2019-08-01,217.7,219.43,209.97,215.26,51131
2019-08-02,215.8,223.3,213.77,217.7,54265
2019-08-03,222.15,224.95,213.77,215.63,54265
2019-08-04,221.55,223.41,215.99,222.19,54265
2019-08-05,231.84,237.15,218.68,221.38,72114
2019-08-06,226.31,239.87,223.92,232.1,64625
2019-08-07,225.45,233.15,218.46,226.3,60408
2019-08-08,218.65,227.75,213.36,225.45,58330
2019-08-09,209.18,222.7,205.25,218.65,57883
2019-08-10,206.57,214.99,199.21,210.05,57883
2019-08-11,214.94,216.74,203.65,206.57,57883
2019-08-12,212.37,217.22,208.58,215.77,40863
2019-08-13,208.17,212.77,201.92,212.42,39219
2019-08-14,188.67,210.69,180.76,208.19,49637
2019-08-15,186.86,190.77,172.8,188.77,70678
2019-08-16,185.41,189.79,177.09,186.88,61016
2019-08-17,182.84,187.98,180.68,185.41,61016
2019-08-18,195.29,198.3,180.92,183.04,61016
2019-08-19,198.44,202.97,191.63,196.35,67817
2019-08-20,196.7,203.88,193.61,198.77,58865
2019-08-21,185.57,198.99,179.18,196.7,63914
2019-08-22,192.15,195.42,181.54,185.94,76537
2019-08-23,192.85,197.44,187.36,192.31,62655
2019-08-24,189.25,195.14,185.3,192.85,62655
2019-08-25,184.42,193.01,181.93,189.25,62655
2019-08-26,186.69,194.24,181.93,187.17,58775
2019-08-27,186.89,189.51,183.44,186.69,55900
2019-08-28,171.68,188.47,163.9,186.84,57071
2019-08-29,169.46,174.21,162.55,171.48,75448
2019-08-30,168.87,170.81,164.4,169.39,67720
2019-08-31,166.57,169.93,164.8,168.87,67720
2019-09-01,170.35,175.42,165.32,166.57,67720
2019-09-02,179.83,181.67,168.39,170.21,67342
2019-09-03,181.18,183.06,172.8,179.57,72147
2019-09-04,176.37,181.63,173.87,181.53,77557
2019-09-05,172.25,177.42,168.7,176.37,59347
2019-09-06,168.74,178.7,164.35,171.9,62796
2019-09-07,179.02,181.39,167.23,168.81,62796
2019-09-08,180.11,184.72,175.19,179.02,62796
2019-09-09,179.6,186.91,174.93,180.11,77705
2019-09-10,178.0,184.55,175.67,179.25,74448
2019-09-11,176.95,182.72,172.94,178.42,65422
2019-09-12,179.82,181.28,175.35,177.29,57293
2019-09-13,181.13,183.09,177.04,179.92,61654
2019-09-14,189.25,191.35,185.94,188.78,61654
2019-09-15,188.23,189.28,179.7,181.13,61654
2019-09-16,199.09,200.16,187.71,189.08,81597
2019-09-17,212.84,214.96,195.39,200.0,92240
2019-09-18,211.04,217.98,206.23,212.87,81141
2019-09-19,220.26,224.65,201.25,211.59,83682
2019-09-20,216.06,223.39,211.36,220.26,89828
2019-09-21,216.1,221.89,216.06,216.06,89828
2019-09-22,208.02,217.42,205.33,216.1,89828
2019-09-23,205.38,212.64,203.29,207.2,83952
2019-09-24,165.01,205.53,138.84,204.85,85741
2019-09-25,169.78,175.41,161.5,165.77,99175
2019-09-26,164.0,173.83,152.08,171.03,89293
2019-09-27,170.86,172.28,160.67,163.83,89824
2019-09-28,173.94,177.59,168.32,170.86,89824
2019-09-29,168.5,175.72,164.0,173.94,89824
2019-09-30,176.92,181.78,164.55,168.35,104367
2019-10-01,177.49,186.39,173.21,176.89,98579
2019-10-02,177.59,179.26,173.59,177.73,80125
2019-10-03,173.24,182.12,169.19,176.94,75069
2019-10-04,177.17,179.82,170.15,172.5,70768
2019-10-05,175.2,178.02,169.91,177.6,70767
2019-10-06,170.65,177.49,165.88,175.22,70767
2019-10-07,179.93,183.36,165.88,172.85,92919
2019-10-08,178.32,185.69,175.46,179.07,76388
2019-10-09,192.51,195.49,175.46,178.32,56836
2019-10-10,192.37,196.32,185.51,192.96,61353
2019-10-11,182.05,197.99,177.71,192.38,58676
2019-10-12,180.65,185.09,175.62,182.05,58676
2019-10-13,181.1,185.1,176.33,180.65,58676
2019-10-14,187.41,188.25,176.33,183.88,53484
2019-10-15,178.37,188.89,174.91,186.86,46786
2019-10-16,174.43,181.71,170.12,178.15,49725
2019-10-17,176.09,179.77,170.47,174.37,40161
2019-10-18,174.07,177.96,166.09,176.09,50721
2019-10-19,169.32,175.73,167.52,174.07,50721
2019-10-20,175.57,177.51,167.09,169.32,50721
2019-10-21,174.1,178.79,169.42,175.31,48448
2019-10-22,172.45,176.05,169.1,174.1,46697
2019-10-23,160.69,173.38,151.04,172.45,51526
2019-10-24,161.0,164.35,156.81,160.69,46073
2019-10-25,180.73,187.99,157.99,161.6,51199
2019-10-26,179.17,199.8,173.11,182.3,51199
